"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.44275689873,-2.42277331917489,0.0609017970326711,-39.7816392490879,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.71288162098,3.20180898808808,0.0727130779927902,44.0334679327638,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.21404970522,-2.31379608489335,0.0585391910646383,-39.52559034064,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000116016",4423.77139985787,-1.88808661332877,0.0440078371607501,-42.903417553379,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000164251",2348.58007141961,3.34442150565832,0.0694188151005398,48.1774501742008,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.45539648996,2.39219022274659,0.0621624440996286,38.4828855653197,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28103.9835841453,1.83215607766763,0.0402964453543759,45.4669403605019,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43717.3503704727,-1.84413013242957,0.0432956624754582,-42.5938772382777,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2943.90257634892,2.26596844170653,0.0558596351888845,40.5653999358277,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28004.996182889,2.26245700879787,0.0565191505745702,40.029918811551,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.11636431045,-3.19611455854719,0.0759070818975728,-42.1056175346056,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000139289",12941.9659648922,2.03723541930272,0.0475471904642103,42.8465993345325,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.33715142834,1.95046436333528,0.0445903883972066,43.7418114854876,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4 (PEL blood group)"
"ENSG00000211448",1884.61346511963,2.5236228009443,0.0655982555939138,38.4708827711333,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.23371912142,3.85820515509193,0.0863646505813357,44.6734298016801,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.49708155923,-2.40673098104941,0.0586114395941807,-41.0624785487843,0,0,"SEMA7A","8482","semaphorin 7A (JohnMiltonHagen blood group)"
"ENSG00000131747",1743.76514268171,-2.92424811143545,0.069675404807928,-41.9695891182353,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8244.7384144704,-2.14241150047933,0.0415816500093224,-51.5230035363918,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000059804",3443.13914806436,2.07970187319741,0.0549843097272451,37.8235515461405,4.66080056069181e-313,3.3604372042588e-310,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4419.87167074468,-1.93845245171236,0.0513887636544206,-37.7213288248785,2.22091920209054e-311,1.52121860747192e-308,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000198743",1998.94620288194,2.53439929699969,0.0673719794459494,37.6180025856739,1.09172058925569e-309,7.12165731057793e-307,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000150938",7442.67550027532,-2.05969304815082,0.0549373087634883,-37.4916990749955,1.25765982949815e-307,7.83121909286142e-305,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000136068",3795.96473586891,-1.6498556261229,0.0446673997354068,-36.936460055791,1.20152893133301e-298,7.15641079579607e-296,"FLNB","2317","filamin B"
"ENSG00000157680",1358.95755143453,2.54487728106086,0.0692162203125107,36.7670651412452,6.20599503429263e-296,3.54233024894895e-293,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000104081",804.768939542687,4.43405975555154,0.121064019353057,36.6257437944511,1.1135924048385e-293,6.10204094155302e-291,"BMF","90427","Bcl2 modifying factor"
"ENSG00000165434",1243.04849960588,2.51715278532388,0.0691433267272199,36.4048550231666,3.56689589661684e-290,1.87934257260593e-287,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000101825",1024.88289265529,3.28765629419594,0.0905045171187564,36.3258807279421,6.31677216880556e-289,3.20494303483212e-286,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000181104",14921.4331941007,1.66808339933509,0.0459915037350879,36.2693816002037,4.91829511645047e-288,2.40627588572339e-285,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000074416",2392.69755330109,-2.14813145496793,0.0592583207877326,-36.2502923878436,9.83216679120062e-288,4.64451216802267e-285,"MGLL","11343","monoglyceride lipase"
"ENSG00000117724",1324.12881044663,-2.8251592548422,0.077943267841213,-36.2463537017418,1.13422942890526e-287,5.17926964885771e-285,"CENPF","1063","centromere protein F"
"ENSG00000104368",13213.4956747464,2.02756381342864,0.0562356881428088,36.054752424825,1.16181376769843e-284,5.13409251732282e-282,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000166073",2268.71875257054,-2.2067479364332,0.0612135225506727,-36.0500073265095,1.3787618397813e-284,5.90239326348874e-282,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000115963",13231.3856152401,1.80523361833738,0.0500814604245484,36.0459460054505,1.5963196760274e-284,6.62666158845437e-282,"RND3","390","Rho family GTPase 3"
"ENSG00000074800",18389.641235424,-1.33900685822122,0.0372304123217158,-35.9654050202448,2.90746545273687e-283,1.1714520363836e-280,"ENO1","2023","enolase 1"
"ENSG00000091527",2814.04573927667,-1.81033523641727,0.0505243671442357,-35.8309334434445,3.64419353533915e-281,1.42633734973174e-278,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.28226183386,1.93495293692464,0.0541475753353818,35.7348029886811,1.13936445629294e-279,4.33559824632137e-277,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000143799",1043.81127931113,-2.61753258764832,0.0739308794919924,-35.4051325458915,1.42356724851159e-274,5.27066155063791e-272,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000164938",1395.81595782203,2.31772591807667,0.0655095210180381,35.3799857189992,3.46906743754602e-274,1.25059881123534e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000110002",899.429264257263,4.43904068151765,0.125802880183687,35.2856840402709,9.73678571196999e-273,3.42010839662248e-270,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000196549",1520.1861779234,2.83737558209866,0.0806427057637089,35.1845285351963,3.44813018733559e-271,1.18089838590776e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000088325",1049.70255456937,-3.01212694849221,0.08561562064721,-35.1819787758599,3.77202990590499e-271,1.26031799221933e-268,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000198959",5110.63877908813,-1.74628386963693,0.0497064611966069,-35.1319290812065,2.19469771638541e-270,7.15837238494375e-268,"TGM2","7052","transglutaminase 2"
"ENSG00000073712",2356.66265579439,-2.30522461421682,0.0658498116725644,-35.0073076241957,1.74167773716051e-268,5.54866123752601e-266,"FERMT2","10979","FERM domain containing kindlin 2"
